"Year","inflation","salaries_growth_inflation_corrected","salary","living_costs_change_elternzeit","living_costs_family","living_standard_costs","living_costs","expected_money_for_investment_savings","net_annual_salary","lump_sums","expected_yearly_return_on_passive_investment_inflation_corrected","total_taxes_on_income","capital_gains_tax_rate","passive_investment_return_from_previous_year","passive_investment_vorabpauschale","vorabpauschale_tax_from_previous_year","accumulated_vorabpauschale_tax","housing_cost_growth_inflation_corrected","housing_cost","rental_cost_growth_inflation_corrected","rental_cost","rental_housing_cost","property1_value_growth_inflation_corrected","property1_market_evaluation","property1_purchase_real_cost","property1_available_for_down_payment","property1_used_from_savings","property1_mortgage_principal","property1_principal_repayment_rate","property1_mortgage_interest_rate","property1_mortgage_interest_share","property1_mortgage_payment","property1_mortgage_principal_share","property1_mortgage_length_years","property1_mortgage_principal_left","property1_mortgage_interest_left","property1_max_mortgage_amortization","property1_additional_amortization","property1_loan_family_friends_interest_rate","property1_loan_family_friends_principal_share","property1_loan_family_friends_interest_share","property1_loan_family_friends_payment","property1_loan_family_friends_principal_left","property1_loan_family_friends_interest_left","property1_property_taxes_rate","property1_property_taxes","property1_maintenance_cost_rate","property1_maintenance_cost","property1_hausgeld_maintenance_costs","property1_hausgeld_utilities","property1_hausgeld_reserve_fund","property1_hausgeld_house_management_fee","property1_hausgeld_building_insurance","property1_hausgeld_fees_total","property1_sale_rate_total","property1_sale_costs","property1_sale_capital_gain_tax","property1_value_liquid","properties_principal_share","properties_interest_share","properties_property_taxes","properties_maintenance_cost","properties_hausgeld_fees_total","properties_property_management_fee","properties_vacancy_months_cost","properties_warm_lease_income","properties_income_taxes_adjustment","properties_max_mortgage_amortization","total_expenses","total_income","cash_flow","cash_flow_to_emergency_reserve","cash_flow_to_mortgage_amortization","cash_flow_to_investment","savings_emergency_reserve","passive_investment_money_needed_from_liquid","passive_investment_money_withdrawn_from_capital_gains","passive_investment_money_withdrawn_from_contributions","passive_investment_yearly_contribution","passive_investment_contributions_accumulated","passive_investment_total_invested","passive_investment_total_invested_liquid","total_asset","scenario"
2065,2.5,-30,26183.31,0,0,-12000,-12000,0,26183.31,0,3.41,14.77,26.38,5142.23,2685.06,0,1805.12,0,-1440,0.49,0,0,0.49,182391.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-547.18,1,-1823.92,0,0,0,0,0,0,11.17,-20373.16,0,162018.58,0,0,-547.18,-1823.92,0,0,0,0,0,0,-14371.1,31325.54,11812.21,0,0,11812.21,6000,0,0,0,11812.21,137684.06,167312.08,159496.21,355703.82,"example"
2066,2.5,-2.44,18328.32,0,0,-12000,-12000,0,18328.32,0,3.41,14.77,26.38,5705.34,2752.19,0,1805.12,0,-1440,0.49,0,0,0.49,183285.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-549.86,1,-1832.85,0,0,0,0,0,0,11.17,-20472.99,0,162812.47,0,0,-549.86,-1832.85,0,0,0,0,0,0,-14382.71,24033.66,3945.61,0,0,3945.61,6000,0,0,0,3945.61,141629.67,176963.03,167642.09,366248.49,"example"
2067,2.5,-2.44,17881.11,0,0,-12000,-12000,0,17881.11,0,3.41,14.77,26.38,6034.44,2820.99,0,1805.12,0,-1440,0.49,0,0,0.49,184183.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-552.55,1,-1841.84,0,0,0,0,0,0,11.17,-20573.3,0,163610.26,0,0,-552.55,-1841.84,0,0,0,0,0,0,-14394.39,23915.55,3486.72,0,0,3486.72,6000,0,0,0,3486.72,145116.39,186484.19,175571.36,376667.75,"example"
2068,2.5,-2.44,17444.81,0,0,-12000,-12000,0,17444.81,0,3.41,14.77,26.38,6359.11,2891.51,0,1805.12,0,-1440,0.49,0,0,0.49,185086.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-555.26,1,-1850.86,0,0,0,0,0,0,11.17,-20674.11,0,164411.95,0,0,-555.26,-1850.86,0,0,0,0,0,0,-14406.12,23803.92,3038.69,0,0,3038.69,6000,0,0,0,3038.69,148155.08,195881.99,183291.63,386968.05,"example"
2069,2.5,-2.44,17019.16,0,0,-12000,-12000,0,17019.16,0,3.41,14.77,26.38,6679.58,2963.8,0,1805.12,0,-1440,0.49,0,0,0.49,185992.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-557.98,1,-1859.93,0,0,0,0,0,0,11.17,-20775.42,0,165217.56,0,0,-557.98,-1859.93,0,0,0,0,0,0,-14417.91,23698.74,2601.25,0,0,2601.25,6000,0,0,0,2601.25,150756.33,205162.82,190810.39,397155.8,"example"
2070,2.5,-2.44,16603.89,0,0,-12000,-12000,0,16603.89,0,3.41,14.77,26.38,6996.05,3037.9,0,1805.12,0,-1440,0.49,0,0,0.49,186904.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-560.71,1,-1869.04,0,0,0,0,0,0,11.17,-20877.22,0,166027.13,0,0,-560.71,-1869.04,0,0,0,0,0,0,-14429.75,23599.94,2174.14,0,0,2174.14,6000,0,0,0,2174.14,152930.47,214333.01,198135.02,407237.36,"example"
2071,2.5,-2.44,16198.76,0,0,-12000,-12000,0,16198.76,0,3.41,14.77,26.38,7308.76,3113.85,0,1805.12,0,-1440,0.49,0,0,0.49,187820.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-563.46,1,-1878.2,0,0,0,0,0,0,11.17,-20979.51,0,166840.67,0,0,-563.46,-1878.2,0,0,0,0,0,0,-14441.66,23507.52,1757.1,0,0,1757.1,6000,0,0,0,1757.1,154687.57,223398.87,205272.83,417219.05,"example"
2072,2.5,-2.44,15803.51,0,0,-12000,-12000,0,15803.51,0,3.41,14.77,26.38,7617.9,3191.7,0,1805.12,0,-1440,0.49,0,0,0.49,188740.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-566.22,1,-1887.4,0,0,0,0,0,0,11.17,-21082.31,0,167658.19,0,0,-566.22,-1887.4,0,0,0,0,0,0,-14453.62,23421.41,1349.89,0,0,1349.89,6000,0,0,0,1349.89,156037.46,232366.66,212231.02,427107.16,"example"
2073,2.5,-2.44,15417.9,0,0,-12000,-12000,0,15417.9,0,3.41,14.77,26.38,7923.7,3271.49,0,1805.12,0,-1440,0.49,0,0,0.49,189665.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-569,1,-1896.65,0,0,0,0,0,0,11.17,-21185.62,0,168479.71,0,0,-569,-1896.65,0,0,0,0,0,0,-14465.65,23341.6,952.25,0,0,952.25,6000,0,0,0,952.25,156989.71,241242.61,219016.69,436907.94,"example"
2074,2.5,-2.44,15041.7,0,0,-12000,-12000,0,15041.7,0,3.41,14.77,26.38,8226.37,3353.28,0,1805.12,0,-1440,0.49,0,0,0.49,190594.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-571.78,1,-1905.95,0,0,0,0,0,0,11.17,-21289.43,0,169305.26,0,0,-571.78,-1905.95,0,0,0,0,0,0,-14477.73,23268.07,563.97,0,0,563.97,6000,0,0,0,563.97,157553.68,250032.95,225636.92,446627.64,"example"
2075,2.5,-2.44,14674.68,0,0,-12000,-12000,0,14674.68,0,3.41,14.77,26.38,8526.12,3437.11,0,1805.12,0,-1440,0.49,0,0,0.49,191528.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-574.59,1,-1915.29,0,0,0,0,0,0,11.17,-21393.74,0,170134.86,0,0,-574.59,-1915.29,0,0,0,0,0,0,-14489.88,23200.8,184.8,0,0,184.8,6000,0,0,0,184.8,157738.48,258743.87,232098.65,456272.47,"example"
