"Year","inflation","salaries_growth_inflation_corrected","salary","living_costs_change_elternzeit","living_costs_family","living_standard_costs","living_costs","expected_money_for_investment_savings","net_annual_salary","lump_sums","expected_yearly_return_on_passive_investment_inflation_corrected","total_taxes_on_income","capital_gains_tax_rate","passive_investment_return_from_previous_year","passive_investment_vorabpauschale","vorabpauschale_tax_from_previous_year","accumulated_vorabpauschale_tax","housing_cost_growth_inflation_corrected","housing_cost","rental_cost_growth_inflation_corrected","rental_cost","rental_housing_cost","property1_value_growth_inflation_corrected","property1_market_evaluation","property1_purchase_real_cost","property1_available_for_down_payment","property1_used_from_savings","property1_mortgage_principal","property1_principal_repayment_rate","property1_mortgage_interest_rate","property1_mortgage_interest_share","property1_mortgage_payment","property1_mortgage_principal_share","property1_mortgage_length_years","property1_mortgage_principal_left","property1_mortgage_interest_left","property1_max_mortgage_amortization","property1_additional_amortization","property1_loan_family_friends_interest_rate","property1_loan_family_friends_principal_share","property1_loan_family_friends_interest_share","property1_loan_family_friends_payment","property1_loan_family_friends_principal_left","property1_loan_family_friends_interest_left","property1_property_taxes_rate","property1_property_taxes","property1_maintenance_cost_rate","property1_maintenance_cost","property1_hausgeld_maintenance_costs","property1_hausgeld_utilities","property1_hausgeld_reserve_fund","property1_hausgeld_house_management_fee","property1_hausgeld_building_insurance","property1_hausgeld_fees_total","property1_sale_rate_total","property1_sale_costs","property1_sale_capital_gain_tax","property1_value_liquid","properties_principal_share","properties_interest_share","properties_property_taxes","properties_maintenance_cost","properties_hausgeld_fees_total","properties_property_management_fee","properties_vacancy_months_cost","properties_warm_lease_income","properties_income_taxes_adjustment","properties_max_mortgage_amortization","total_expenses","total_income","cash_flow","cash_flow_to_emergency_reserve","cash_flow_to_mortgage_amortization","cash_flow_to_investment","savings_emergency_reserve","passive_investment_money_needed_from_liquid","passive_investment_money_withdrawn_from_capital_gains","passive_investment_money_withdrawn_from_contributions","passive_investment_yearly_contribution","passive_investment_contributions_accumulated","passive_investment_total_invested","passive_investment_total_invested_liquid","total_asset","scenario"
2064,2.5,-2.44,32553.77,0,0,-50400,-50400,0,32553.77,0,3.41,44.31,26.38,14514.97,2619.57,-756.02,5901.41,0,-3960,0.49,0,0,0.49,605007.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-1815.02,1,-6050.08,-900,-1500,-480,-480,-360,-3720,11.17,-67579.37,0,537428.46,0,0,-1815.02,-6050.08,-3720,0,0,0,0,0,-62741.12,47068.74,-30187.35,-30187.35,0,0,0,-30187.35,-24285.94,0,0,322048.25,415888.06,391133.12,1020895.89,"example"
2065,2.5,-2.44,31759.46,0,0,-50400,-50400,0,31759.46,0,3.41,44.31,26.38,14181.78,2685.06,-705.53,7191.8,0,-3960,0.49,0,0,0.49,607972.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-1823.92,1,-6079.72,-900,-1500,-480,-480,-360,-3720,11.17,-67910.51,0,540061.86,0,0,-1823.92,-6079.72,-3720,0,0,0,0,0,-62729.17,45941.24,-30969.71,-30969.71,0,0,0,-30969.71,-23777.91,0,0,322048.25,406291.93,384068.45,1014264.3,"example"
2066,2.5,-2.44,30984.53,0,0,-50400,-50400,0,30984.53,0,3.41,44.31,26.38,13854.55,2752.19,-655.2,8406.82,0,-3960,0.49,0,0,0.49,610951.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-1832.85,1,-6109.51,-900,-1500,-480,-480,-360,-3720,11.17,-68243.27,0,542708.16,0,0,-1832.85,-6109.51,-3720,0,0,0,0,0,-62717.56,44839.08,-31733.03,-31733.03,0,0,0,-31733.03,-23326.21,0,0,322048.25,396820.27,377095.41,1007771.7,"example"
2067,2.5,-2.44,30228.51,0,0,-50400,-50400,0,30228.51,0,3.41,44.31,26.38,13531.57,2820.99,-604.85,9536.88,0,-3960,0.49,0,0,0.49,613945.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-1841.84,1,-6139.45,-900,-1500,-480,-480,-360,-3720,11.17,-68577.67,0,545367.42,0,0,-1841.84,-6139.45,-3720,0,0,0,0,0,-62706.14,43760.08,-32477.63,-32477.63,0,0,0,-32477.63,-22940.75,0,0,322048.25,387411.09,370168.37,1001356.18,"example"
2068,2.5,-2.44,29490.93,0,0,-50400,-50400,0,29490.93,0,3.41,44.31,26.38,13210.72,2891.51,-554.26,10571.35,0,-3960,0.49,0,0,0.49,616953.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-1850.86,1,-6169.53,-900,-1500,-480,-480,-360,-3720,11.17,-68913.7,0,548039.72,0,0,-1850.86,-6169.53,-3720,0,0,0,0,0,-62694.65,42701.65,-33203.72,-33203.72,0,0,0,-33203.72,-22632.37,0,0,322048.25,377989.44,363232.15,994942.86,"example"
2069,2.5,-2.44,28771.35,0,0,-50400,-50400,0,28771.35,0,3.41,44.31,26.38,12889.44,2963.8,-503.16,11498.12,0,-3960,0.49,0,0,0.49,619976.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-1859.93,1,-6199.76,-900,-1500,-480,-480,-360,-3720,11.17,-69251.37,0,550725.12,0,0,-1859.93,-6199.76,-3720,0,0,0,0,0,-62682.85,41660.79,-33911.5,-33911.5,0,0,0,-33911.5,-22413.38,0,0,322048.25,368465.5,356220.63,988441.99,"example"
2070,2.5,-2.44,28069.33,0,0,-50400,-50400,0,28069.33,0,3.41,44.31,26.38,12564.67,3037.9,-451.23,12303.03,0,-3960,0.49,0,0,0.49,623014.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-1869.04,1,-6230.14,-900,-1500,-480,-480,-360,-3720,11.17,-69590.71,0,553423.66,0,0,-1869.04,-6230.14,-3720,0,0,0,0,0,-62670.41,40634,-34601.08,-34601.08,0,0,0,-34601.08,-22298.05,-428.7,0,321619.55,358303.42,348626.22,981317.79,"example"
2071,2.5,-2.44,27384.44,0,0,-50400,-50400,0,27384.44,0,3.41,44.31,26.38,12218.15,3113.85,-396.65,12969.86,0,-3960,0.49,0,0,0.49,626067.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-1878.2,1,-6260.67,-900,-1500,-480,-480,-360,-3720,11.17,-69931.7,0,556135.44,0,0,-1878.2,-6260.67,-3720,0,0,0,0,0,-62655.52,39602.59,-35271.08,-35271.08,0,0,0,-35271.08,-22301.22,-8264.41,0,313355.14,339955.94,332938.65,966023.08,"example"
2072,2.5,-2.44,26716.26,0,0,-50400,-50400,0,26716.26,0,3.41,44.31,26.38,11592.5,3191.7,-313.74,13488.53,0,-3960,0.49,0,0,0.49,629134.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-1887.4,1,-6291.35,-900,-1500,-480,-480,-360,-3720,11.17,-70274.36,0,558860.51,0,0,-1887.4,-6291.35,-3720,0,0,0,0,0,-62612.49,38308.76,-35896.23,-35896.23,0,0,0,-35896.23,-22407.7,-16312.72,0,297042.42,312828.02,308663.78,941962.89,"example"
2073,2.5,-2.44,26064.38,0,0,-50400,-50400,0,26064.38,0,3.41,44.31,26.38,10667.44,3271.49,-200.47,13828.41,0,-3960,0.49,0,0,0.49,632217.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-1896.65,1,-6322.18,-900,-1500,-480,-480,-360,-3720,11.17,-70618.71,0,561598.92,0,0,-1896.65,-6322.18,-3720,0,0,0,0,0,-62539.3,36731.82,-36474.92,-36474.92,0,0,0,-36474.92,-15785.6,-24853.56,0,272188.86,282856.3,280042.23,915073.93,"example"
2074,2.5,-2.44,25428.41,0,0,-50400,-50400,0,25428.41,0,3.41,44.31,26.38,9645.4,3353.28,-77,14086.28,0,-3960,0.49,0,0,0.49,635315.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-1905.95,1,-6353.16,-900,-1500,-480,-480,-360,-3720,11.17,-70964.74,0,564350.76,0,0,-1905.95,-6353.16,-3720,0,0,0,0,0,-62456.11,35073.81,-37027.7,-37027.7,0,0,0,-37027.7,-10667.44,-29174.33,0,243014.53,252659.93,250115.47,887975.43,"example"
2075,2.5,-2.44,24807.96,0,0,-50400,-50400,0,24807.96,0,3.41,44.31,26.38,8615.7,3437.11,0,14351.42,0,-3960,0.49,0,0,0.49,638428.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-1915.29,1,-6384.29,-900,-1500,-480,-480,-360,-3720,11.17,-71312.47,0,567116.08,0,0,-1915.29,-6384.29,-3720,0,0,0,0,0,-62419.58,33423.66,-37611.62,-37611.62,0,0,0,-37611.62,-9645.4,-30510.68,0,212503.85,221119.55,218846.73,859548.1,"example"
