"Year","inflation","salaries_growth_inflation_corrected","salary","living_costs_change_elternzeit","living_costs_family","living_standard_costs","living_costs","expected_money_for_investment_savings","net_annual_salary","lump_sums","expected_yearly_return_on_passive_investment_inflation_corrected","total_taxes_on_income","capital_gains_tax_rate","passive_investment_return_from_previous_year","housing_cost_growth_inflation_corrected","housing_cost","rental_cost_growth_inflation_corrected","rental_cost","rental_housing_cost","property1_value_growth_inflation_corrected","property1_market_evaluation","property1_purchase_real_cost","property1_available_for_down_payment","property1_used_from_savings","property1_mortgage_principal","property1_principal_repayment_rate","property1_mortgage_interest_rate","property1_mortgage_principal_share","property1_mortgage_interest_share","property1_mortgage_payment","property1_mortgage_length_years","property1_mortgage_principal_left","property1_mortgage_interest_left","property1_loan_family_friends_interest_rate","property1_loan_family_friends_principal_share","property1_loan_family_friends_interest_share","property1_loan_family_friends_payment","property1_loan_family_friends_principal_left","property1_loan_family_friends_interest_left","property1_property_taxes_rate","property1_property_taxes","property1_maintenance_cost_rate","property1_maintenance_cost","property1_hausgeld_maintenance_costs","property1_hausgeld_utilities","property1_hausgeld_reserve_fund","property1_hausgeld_house_management_fee","property1_hausgeld_building_insurance","property1_hausgeld_fees_total","property1_lease_rental_growth","property1_cold_rent_from_lease","property1_warm_lease_income","property1_yearly_depreciation_rate","property1_yearly_depreciation","property1_property_management_fee","property1_total_deducible_expenses","property1_income_taxes_adjustment","property1_vacancy_months_cost","property1_sale_rate_total","property1_sale_costs","property1_sale_capital_gain_tax","property1_value_liquid","properties_principal_share","properties_interest_share","properties_property_taxes","properties_maintenance_cost","properties_hausgeld_fees_total","properties_property_management_fee","properties_vacancy_months_cost","properties_warm_lease_income","properties_income_taxes_adjustment","total_expenses","total_income","cash_flow","savings_emergency_reserve","passive_investment_money_needed_from_liquid","passive_investment_money_taken_out_from_capital_gains","passive_investment_money_taken_out_from_contributions","passive_investment_yearly_contribution","passive_investment_contributions_accumulated","passive_investment_total_invested","passive_investment_total_invested_liquid","total_asset","scenario"
2059,2,-1.4,113872.8,0,0,-48000,-48000,0,113872.8,0,2.74,44.31,26.38,103871.04,0,-3960,1.96,-41789.57,-3960,1.96,870615.96,0,0,0,0,0,0,0,0,0,0,0,-27.26,0,0,0,0,0,0,0.3,-2611.85,1.5,-13059.24,-720,-1260,-360,-360,-420,-3120,1.96,26698.9,32430.75,2,-9000,-2002.42,-29793.51,1371.22,-2702.56,11.17,-97247.8,0,773340.9,0,0,-2611.85,-13059.24,-3120,-2002.42,-2702.56,32430.75,1371.22,-117245.64,285347.78,168102.14,23400,0,0,0,168102.14,3762255.92,3762255.92,3762255.92,4656244.62,"example"
2060,2,-1.51,112278.58,0,0,-48000,-48000,0,112278.58,0,2.59,44.31,26.38,103085.81,0,-3960,1.96,-42608.64,-3960,1.96,887680.03,0,0,0,0,0,0,0,0,0,0,0,-27.26,0,0,0,0,0,0,0.3,-2663.04,1.5,-13315.2,-720,-1260,-360,-360,-420,-3120,1.96,27222.2,33005.24,2,-9000,-2041.66,-30139.9,1292.83,-2750.44,11.17,-99153.86,0,788498.91,0,0,-2663.04,-13315.2,-3120,-2041.66,-2750.44,33005.24,1292.83,-118458.98,283960.53,165501.55,23400,0,0,0,165501.55,3927757.47,3927757.47,3927757.47,4838810.24,"example"
2061,2,-1.62,110583.17,0,0,-48000,-48000,0,110583.17,0,2.44,44.31,26.38,101728.92,0,-3960,1.96,-43443.77,-3960,1.96,905078.56,0,0,0,0,0,0,0,0,0,0,0,-27.26,0,0,0,0,0,0,0.3,-2715.24,1.5,-13576.18,-720,-1260,-360,-360,-420,-3120,1.96,27755.76,33591,2,-9000,-2081.68,-30493.1,1212.92,-2799.25,11.17,-101097.28,0,803954.02,0,0,-2715.24,-13576.18,-3120,-2081.68,-2799.25,33591,1212.92,-119696.12,281919.93,162223.81,23400,0,0,0,162223.81,4089981.28,4089981.28,4089981.28,5018432.58,"example"
2062,2,-1.73,108791.72,0,0,-48000,-48000,0,108791.72,0,2.29,44.31,26.38,99795.54,0,-3960,1.96,-44295.27,-3960,1.96,922818.1,0,0,0,0,0,0,0,0,0,0,0,-27.26,0,0,0,0,0,0,0.3,-2768.45,1.5,-13842.27,-720,-1260,-360,-360,-420,-3120,1.96,28299.77,34188.22,2,-9000,-2122.48,-30853.2,1131.42,-2849.02,11.17,-103078.78,0,819712.06,0,0,-2768.45,-13842.27,-3120,-2122.48,-2849.02,34188.22,1131.42,-120957.49,279226.54,158269.05,23400,0,0,0,158269.05,4248250.33,4248250.33,4248250.33,5194441.17,"example"
2063,2,-1.85,106909.62,0,0,-48000,-48000,0,106909.62,0,2.14,44.31,26.38,97284.93,0,-3960,1.96,-45163.46,-3960,1.96,940905.33,0,0,0,0,0,0,0,0,0,0,0,-27.26,0,0,0,0,0,0,0.3,-2822.72,1.5,-14113.58,-720,-1260,-360,-360,-420,-3120,1.96,28854.45,34797.17,2,-9000,-2164.08,-31220.38,1048.34,-2899.76,11.17,-105099.13,0,835778.94,0,0,-2822.72,-14113.58,-3120,-2164.08,-2899.76,34797.17,1048.34,-122243.6,275885.57,153641.97,23400,0,0,0,153641.97,4401892.3,4401892.3,4401892.3,5366170.37,"example"
2064,2,-50,104931.79,0,0,-48000,-48000,0,104931.79,0,1.96,44.31,26.38,94200.5,0,-3960,1.96,-46048.66,-3960,1.96,959347.07,0,0,0,0,0,0,0,0,0,0,0,-27.26,0,0,0,0,0,0,0.3,-2878.04,1.5,-14390.21,-720,-1260,-360,-360,-420,-3120,1.96,29420,35418.04,2,-9000,-2206.5,-31594.75,963.63,-2951.5,11.17,-107159.07,0,852160.74,0,0,-2878.04,-14390.21,-3120,-2206.5,-2951.5,35418.04,963.63,-123554.91,271895.63,148340.72,23400,0,0,0,148340.72,4550233.02,4550233.02,4550233.02,5532952.83,"example"
2065,2,-1.96,52465.89,0,0,-48000,-48000,0,52465.89,0,1.96,44.31,26.38,89184.57,0,-3960,1.96,-46951.21,-3960,1.96,978150.27,0,0,0,0,0,0,0,0,0,0,0,-27.26,0,0,0,0,0,0,0.3,-2934.45,1.5,-14672.25,-720,-1260,-360,-360,-420,-3120,1.96,29996.63,36051.08,2,-9000,-2249.75,-31976.45,877.26,-3004.26,11.17,-109259.39,0,868863.62,0,0,-2934.45,-14672.25,-3120,-2249.75,-3004.26,36051.08,877.26,-124891.92,215507.14,90615.22,23400,0,0,0,90615.22,4640848.24,4640848.24,4640848.24,5642371.25,"example"
2066,2,-1.96,51437.56,0,0,-48000,-48000,0,51437.56,0,1.96,44.31,26.38,90960.63,0,-3960,1.96,-47871.46,-3960,1.96,997322.02,0,0,0,0,0,0,0,0,0,0,0,-27.26,0,0,0,0,0,0,0.3,-2991.97,1.5,-14959.83,-720,-1260,-360,-360,-420,-3120,1.96,30584.56,36696.53,2,-9000,-2293.84,-32365.64,789.2,-3058.04,11.17,-111400.87,0,885893.89,0,0,-2991.97,-14959.83,-3120,-2293.84,-3058.04,36696.53,789.2,-126255.14,217369.65,91114.51,23400,0,0,0,91114.51,4731962.75,4731962.75,4731962.75,5752657.51,"example"
2067,2,-1.96,50429.38,0,0,-48000,-48000,0,50429.38,0,1.96,44.31,26.38,92746.47,0,-3960,1.96,-48809.74,-3960,1.96,1016869.53,0,0,0,0,0,0,0,0,0,0,0,-27.26,0,0,0,0,0,0,0.3,-3050.61,1.5,-15253.04,-720,-1260,-360,-360,-420,-3120,1.96,31184.02,37354.63,2,-9000,-2338.8,-32762.45,699.4,-3112.89,11.17,-113584.33,0,903257.94,0,0,-3050.61,-15253.04,-3120,-2338.8,-3112.89,37354.63,699.4,-127645.08,219283.91,91638.83,23400,0,0,0,91638.83,4823601.58,4823601.58,4823601.58,5863843.85,"example"
2068,2,-1.96,49440.96,0,0,-48000,-48000,0,49440.96,0,1.96,44.31,26.38,94542.59,0,-3960,1.96,-49766.41,-3960,1.96,1036800.17,0,0,0,0,0,0,0,0,0,0,0,-27.26,0,0,0,0,0,0,0.3,-3110.4,1.5,-15552,-720,-1260,-360,-360,-420,-3120,1.96,31795.23,38025.63,2,-9000,-2384.64,-33167.04,607.85,-3168.8,11.17,-115810.58,0,920962.33,0,0,-3110.4,-15552,-3120,-2384.64,-3168.8,38025.63,607.85,-129062.25,221250.51,92188.26,23400,0,0,0,92188.26,4915789.84,4915789.84,4915789.84,5975962.75,"example"
2069,2,-1.96,48471.92,0,0,-48000,-48000,0,48471.92,0,1.96,44.31,26.38,96349.48,0,-3960,1.96,-50741.83,-3960,1.96,1057121.45,0,0,0,0,0,0,0,0,0,0,0,-27.26,0,0,0,0,0,0,0.3,-3171.36,1.5,-15856.82,-720,-1260,-360,-360,-420,-3120,1.96,32418.42,38709.78,2,-9000,-2431.38,-33579.56,514.5,-3225.82,11.17,-118080.47,0,939013.72,0,0,-3171.36,-15856.82,-3120,-2431.38,-3225.82,38709.78,514.5,-130507.21,223269.96,92762.75,23400,0,0,0,92762.75,5008552.59,5008552.59,5008552.59,6089046.78,"example"
2070,2,-1.96,47521.87,0,0,-48000,-48000,0,47521.87,0,1.96,44.31,26.38,98167.63,0,-3960,1.96,-51736.37,-3960,1.96,1077841.03,0,0,0,0,0,0,0,0,0,0,0,-27.26,0,0,0,0,0,0,0.3,-3233.52,1.5,-16167.62,-720,-1260,-360,-360,-420,-3120,1.96,33053.82,39407.34,2,-9000,-2479.04,-34000.18,419.33,-3283.94,11.17,-120394.84,0,957418.93,0,0,-3233.52,-16167.62,-3120,-2479.04,-3283.94,39407.34,419.33,-131980.49,225342.84,93362.35,23400,0,0,0,93362.35,5101914.94,5101914.94,5101914.94,6203128.71,"example"
2071,2,-1.96,46590.44,0,0,-48000,-48000,0,46590.44,0,1.96,44.31,26.38,99997.53,0,-3960,1.96,-52750.4,-3960,1.96,1098966.71,0,0,0,0,0,0,0,0,0,0,0,-27.26,0,0,0,0,0,0,0.3,-3296.9,1.5,-16484.5,-720,-1260,-360,-360,-420,-3120,1.96,33701.67,40118.57,2,-9000,-2527.63,-34429.03,322.29,-3343.21,11.17,-122754.58,0,976184.87,0,0,-3296.9,-16484.5,-3120,-2527.63,-3343.21,40118.57,322.29,-133482.64,227469.69,93987.05,23400,0,0,0,93987.05,5195901.99,5195901.99,5195901.99,6318241.44,"example"
2072,2,-1.96,45677.27,0,0,-48000,-48000,0,45677.27,0,1.96,44.31,26.38,101839.68,0,-3960,1.96,-53784.31,-3960,1.96,1120506.46,0,0,0,0,0,0,0,0,0,0,0,-27.26,0,0,0,0,0,0,0.3,-3361.52,1.5,-16807.6,-720,-1260,-360,-360,-420,-3120,1.96,34362.22,40843.74,2,-9000,-2577.17,-34866.29,223.35,-3403.64,11.17,-125160.57,0,995318.63,0,0,-3361.52,-16807.6,-3120,-2577.17,-3403.64,40843.74,223.35,-135014.24,229651.13,94636.89,23400,0,0,0,94636.89,5290538.88,5290538.88,5290538.88,6434418.08,"example"
2073,2,-1.96,44782,0,0,-48000,-48000,0,44782,0,1.96,44.31,26.38,103694.56,0,-3960,1.96,-54838.48,-3960,1.96,1142468.39,0,0,0,0,0,0,0,0,0,0,0,-27.26,0,0,0,0,0,0,0.3,-3427.41,1.5,-17137.03,-720,-1260,-360,-360,-420,-3120,1.96,35035.72,41583.13,2,-9000,-2627.68,-35312.12,122.47,-3465.26,11.17,-127613.72,0,1014827.41,0,0,-3427.41,-17137.03,-3120,-2627.68,-3465.26,41583.13,122.47,-136575.86,231887.76,95311.9,23400,0,0,0,95311.9,5385850.78,5385850.78,5385850.78,6551691.91,"example"
2074,2,-1.96,43904.27,0,0,-48000,-48000,0,43904.27,0,1.96,44.31,26.38,105562.68,0,-3960,1.96,-55913.32,-3960,1.96,1164860.77,0,0,0,0,0,0,0,0,0,0,0,-27.26,0,0,0,0,0,0,0.3,-3494.58,1.5,-17472.91,-720,-1260,-360,-360,-420,-3120,1.96,35722.42,42337,2,-9000,-2679.18,-35766.67,19.61,-3528.08,11.17,-130114.95,0,1034718.56,0,0,-3494.58,-17472.91,-3120,-2679.18,-3528.08,42337,19.61,-138168.07,234180.17,96012.1,23400,0,0,0,96012.1,5481862.88,5481862.88,5481862.88,6670096.39,"example"
2075,2,-1.96,43043.75,0,0,-48000,-48000,0,43043.75,0,1.96,44.31,26.38,107444.51,0,-3960,1.96,-57009.22,-3960,1.96,1187692.04,0,0,0,0,0,0,0,0,0,0,0,-27.26,0,0,0,0,0,0,0.3,-3563.08,1.5,-17815.38,-720,-1260,-360,-360,-420,-3120,1.96,36422.58,43105.66,2,-9000,-2731.69,-36230.15,-85.27,-3592.14,11.17,-132665.2,0,1054999.58,0,0,-3563.08,-17815.38,-3120,-2731.69,-3592.14,43105.66,-85.27,-139791.51,236529.04,96737.53,23400,0,0,0,96737.53,5578600.41,5578600.41,5578600.41,6789665.19,"example"
